PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF
aardd001,Aardsma,"David Allan","David","12/27/1981","Denver","Colorado","USA","04/06/2004","08/23/2015",,,,,,,,,,,R,R,"6-05",200,,,,,,,,,NOT
aaroh101,Aaron,"Henry Louis","Hank","02/05/1934","Mobile","Alabama","USA","04/13/1954","10/03/1976",,,,,,,"01/22/2021","Atlanta","Georgia","USA",R,R,"6-00",180,"Southview Cemetery","Atlanta","Georgia","USA",,,,,HOF
aarot101,Aaron,"Tommie Lee","Tommie","08/05/1939","Mobile","Alabama","USA","04/10/1962","09/26/1971",,,"04/06/1979","09/30/1984",,,"08/16/1984","Atlanta","Georgia","USA",R,R,"6-03",190,"Catholic Cemetery","Mobile","Alabama","USA",,,,,NOT
aased001,Aase,"Donald William","Don","09/08/1954","Orange","California","USA","07/26/1977","10/03/1990",,,,,,,,,,,R,R,"6-03",190,,,,,,,,,NOT
abada001,Abad,"Fausto Andres","Andy","08/25/1972","Palm Beach","Florida","USA","09/10/2001","04/13/2006",,,,,,,,,,,L,L,"6-01",184,,,,,,,,,NOT
abadf001,Abad,"Fernando Antonio","Fernando","12/17/1985","La Romana","La Romana","Dominican Republic","07/28/2010","10/01/2021",,,,,,,,,,,L,L,"6-02",205,,,,,,,,,NOT
abadj101,Abadie,"John W.","John","11/04/1850","Philadelphia","Pennsylvania","USA","04/26/1875","06/10/1875",,,,,,,"05/17/1905","Pemberton","New Jersey","USA",R,R,"6-00",192,"St. Denis Cemetery","Havertown","Pennsylvania","USA",,,,,NOT
abbae101,Abbaticchio,"Edward James","Ed","04/15/1877","Latrobe","Pennsylvania","USA","09/04/1897","09/15/1910",,,,,,,"01/06/1957","Fort Lauderdale","Florida","USA",R,R,"5-11",170,"St. Mary Cemetery","Latrobe","Pennsylvania","USA",,,,,NOT
abbeb101,Abbey,"Bert Wood","Bert","11/11/1869","Essex","Vermont","USA","06/14/1892","09/23/1896",,,,,,,"06/11/1962","Colchester","Vermont","USA",R,R,"5-11",175,"Mountain View Cemetery","Essex Junction","Vermont","USA",,,,,NOT
abbec101,Abbey,"Charles S.","Charlie","10/14/1866","Falls City","Nebraska","USA","08/16/1893","08/19/1897",,,,,"07/21/1897","07/21/1897","04/27/1926","San Francisco","California","USA",L,L,"5-08.5",169,"Steele Cemetery","Falls City","Nebraska","USA",,,,,NOT
