PLAYERID,key_mlbam,key_bbref,name,mlb_played_first,mlb_played_last,HOF
aardd001,430911,aardsda01,David Aardsma,2004,2015,
aaroh101,110001,aaronha01,Hank Aaron,1954,1976,HOF
aarot101,110002,aaronto01,Tommie Aaron,1962,1971,
aased001,110003,aasedo01,Don Aase,1977,1990,
abada001,407577,abadan01,Andy Abad,2001,2006,
abadf001,472551,abadfe01,Fernando Abad,2010,2021,
abadj101,110004,abadijo01,John Abadie,1875,1875,
abbae101,110005,abbated01,Ed Abbaticchio,1897,1910,
abbeb101,110006,abbeybe01,Bert Abbey,1892,1896,
abbec101,110007,abbeych01,Charlie Abbey,1893,1897,
abboc001,676265,abbotco01,Cory Abbott,2021,,
abbod101,110013,abbotda01,Dan Abbott,1890,1890,
abbof101,110008,abbotfr01,Fred Abbott,1903,1905,
abbog001,110016,abbotgl01,Glenn Abbott,1973,1984,
abboj002,110010,abbotje01,Jeff Abbott,1997,2001,
abboj001,110009,abbotji01,Jim Abbott,1989,1999,
abbok002,110011,abbotku01,Kurt Abbott,1993,2001,
abbok001,110012,abbotky01,Kyle Abbott,1991,1996,
abboo101,110014,abbotod01,Ody Abbott,1910,1910,
abbop001,110015,abbotpa01,Paul Abbott,1990,2004,
abbos801,,,Spencer Abbott,,,
abera101,110017,aberal01,Al Aber,1950,1957,
aberd101,110018,abercda01,Frank Abercrombie,1871,1871,
aberr001,430631,abercre01,Reggie Abercrombie,2006,2008,
aberb101,110019,abernbi01,Bill Abernathie,1952,1952,
aberb001,150466,abernbr01,Brent Abernathy,2001,2005,
aberr101,,abernja01,James Abernathy,1945,1948,
abert102,110020,abernte01,Ted Abernathy,1942,1944,
abert101,110021,abernte02,Ted Abernathy,1955,1972,
aberw101,110022,abernwo01,Woody Abernathy,1946,1947,
aberc101,110023,aberscl01,Cliff Aberson,1947,1949,
ableh101,110024,ablesha01,Harry Ables,1905,1911,
abnes001,110025,abnersh01,Shawn Abner,1987,1992,
abrac001,682928,abramcj01,C. J. Abrams,2022,,
abrac101,110026,abramca01,Cal Abrams,1949,1956,
abrag101,110027,abramge01,George Abrams,1923,1923,
abrej001,110028,abregjo01,Johnny Abrego,1985,1985,
abrea001,656061,abreual01,Albert Abreu,2020,,
abreb001,110029,abreubo01,Bobby Abreu,1996,2014,
abreb002,650556,abreubr01,Bryan Abreu,2019,,
abrej101,110030,abreujo01,Joe Abreu,1942,1942,
abrej003,547989,abreujo02,José Abreu,2014,,
abrej002,444874,abreuju01,Juan Abreu,2011,2011,
abret001,473234,abreuto01,Tony Abreu,2007,2014,
abrew001,275700,abreuwi01,Winston Abreu,2006,2009,
abstb101,110031,abstebi01,Bill Abstein,1906,1910,
accaj001,435618,accarje01,Jeremy Accardo,2005,2012,
acevd001,642758,acevedo01,Domingo Acevedo,2021,,
acevj002,406895,acevejo01,Jose Acevedo,2001,2005,
acevj001,110032,aceveju01,Juan Acevedo,1995,2003,
aceva001,469686,aceveal01,Alfredo Aceves,2008,2014,
achta001,592091,achteaj01,A. J. Achter,2014,2016,
ackej001,110033,ackerji01,Jim Acker,1983,1992,
acket101,110034,ackerto01,Tom Acker,1956,1959,
ackld001,554429,ackledu01,Dustin Ackley,2011,2016,
acklf101,110035,acklefr01,Fritz Ackley,1963,1964,
acosc101,110037,acostcy01,Cy Acosta,1972,1975,
acose101,110038,acosted01,Ed Acosta,1970,1972,
acosj101,110039,acostjo01,José Acosta,1920,1922,
acosm001,407924,acostma01,Manny Acosta,2007,2012,
acosm101,110036,acostme01,Merito Acosta,1913,1918,
acoso801,,,Oscar Acosta,,,
acrem001,110040,acrema01,Mark Acre,1994,1997,
actam801,427000,actama99,Manny Acta,,,
acunr001,660670,acunaro01,Ronald Acuna,2018,,
adaib801,492614,adairbi99,Bill Adair,,,
adaij101,110042,adairje01,Jerry Adair,1958,1970,
adaij102,110041,adairji01,Jimmy Adair,1931,1931,
adair801,547748,,Rick Adair,,,
adamj002,592094,adamja01,Jason Adam,2018,,
adamc001,542436,adamecr01,Cristhian Adames,2014,2019,
adamw002,642715,adamewi01,Willy Adames,2018,,
adama101,110043,adamsac01,Ace Adams,1941,1946,
adama002,613534,adamsau02,Austin Adams,2017,,
adama001,542866,adamsau01,Austin Adams,2014,2019,
adamb104,110044,adamsba01,Babe Adams,1906,1926,
adamb106,110055,adamsbe01,Bert Adams,1910,1919,
adamb107,110062,adamsbo01,Bob Adams,1925,1925,
adamb102,110061,adamsbo02,Bob Adams,1931,1932,
adamb105,110064,adamsbo04,Bob Adams,1977,1977,
adamb103,110063,adamsbo03,Bobby Adams,1946,1959,
adamb101,110048,adamsbu01,Buster Adams,1939,1947,
adamc002,664856,adamsch01,Chance Adams,2018,2020,
adamc901,,,Clarence Adams,,,
adamd103,110046,adamsda01,Dan Adams,1914,1915,
adamd001,458691,adamsda02,David Adams,2013,2013,
adamd102,110059,adamsdi01,Dick Adams,1947,1947,
adamd101,110051,adamsdo01,Doug Adams,1969,1969,
adamg102,110049,adamsge01,George Adams,1879,1879,
adamg101,110050,adamsgl01,Glenn Adams,1975,1982,
adamj901,,,Harry Adams,,,
adamh101,110052,adamshe01,Herb Adams,1948,1950,
adamj101,110054,adamsji01,Jim Adams,1890,1890,
adamj102,110056,adamsjo01,Joe Adams,1902,1902,
adamk101,110057,adamska01,Karl Adams,1914,1915,
adaml001,572669,adamsla01,Lane Adams,2014,2018,
adamm002,571431,adamsma01,Matt Adams,2012,2021,
adamm102,110065,adamsmi02,Mike Adams,1972,1978,
adamm001,430606,adamsmi03,Mike Adams,2004,2014,
adamr101,110045,adamsre01,Red Adams,1946,1946,
adamr102,110058,adamsri01,Rick Adams,1905,1905,
adamr001,110060,adamsri02,Ricky Adams,1982,1985,
adamr004,656180,adamsri03,Riley Adams,2021,,
adamr002,425859,adamsru01,Russ Adams,2004,2009,
adamr003,502031,adamsry01,Ryan Adams,2011,2011,
adams101,110047,adamssp01,Sparky Adams,1922,1934,
adams102,110066,adamssp02,Spencer Adams,1923,1927,
adamt001,110067,adamste01,Terry Adams,1995,2005,
adamw101,110053,adamswi01,Willie Adams,1912,1919,
adamw001,110068,adamswi02,Willie Adams,1996,1997,
adamj001,110069,adamsjo02,Joel Adamson,1996,1998,
adamm101,110070,adamsmi01,Mike Adamson,1967,1969,
adcoj101,110071,adcocjo01,Joe Adcock,1950,1966,
