ID,Last,First,nickname,play_debut,HOF
aardd001,Aardsma,David Allan,David,04/06/2004,NOT
aaroh101,Aaron,Henry Louis,Hank,04/13/1954,HOF
aarot101,Aaron,Tommie Lee,Tommie,04/10/1962,NOT
aased001,Aase,Donald William,Don,07/26/1977,NOT
abada001,Abad,Fausto Andres,Andy,09/10/2001,NOT
abadf001,Abad,Fernando Antonio,Fernando,07/28/2010,NOT
abadj101,Abadie,John W.,John,04/26/1875,NOT
abbae101,Abbaticchio,Edward James,Ed,09/04/1897,NOT
abbeb101,Abbey,Bert Wood,Bert,06/14/1892,NOT
abbec101,Abbey,Charles S.,Charlie,08/16/1893,NOT
abboc001,Abbott,Cory James,Cory,06/05/2021,
abbod101,Abbott,Leander Franklin,Dan,04/19/1890,NOT
abbof101,Abbott,Harry Frederick,Fred,04/25/1903,NOT
abbog001,Abbott,William Glenn,Glenn,07/29/1973,NOT
abboj001,Abbott,James Anthony,Jim,04/08/1989,NOT
abboj002,Abbott,Jeffrey William,Jeff,06/10/1997,NOT
abbok001,Abbott,Lawrence Kyle,Kyle,09/10/1991,NOT
abbok002,Abbott,Kurt Thomas,Kurt,09/07/1993,NOT
abboo101,Abbott,Ody Cleon,Ody,09/10/1910,NOT
abbop001,Abbott,Paul David,Paul,08/21/1990,NOT
abera101,Aber,Albert Julius,Al,09/15/1950,NOT
aberb001,Abernathy,Michael Brent,Brent,06/25/2001,NOT
aberb101,Abernathie,William Edward,Bill,09/27/1952,NOT
aberc101,Aberson,Clifford Alexander,Cliff,07/18/1947,NOT
aberd101,Abercrombie,Francis Patterson,Frank,10/21/1871,NOT
aberr001,Abercrombie,Reginald Damascus,Reggie,04/04/2006,NOT
abert101,Abernathy,Theodore Wade,Ted,04/13/1955,NOT
abert102,Abernathy,Talmadge Lafayette,Ted,09/19/1942,NOT
aberw101,Abernathy,Virgil Woodrow,Woody,07/28/1946,NOT
ableh101,Ables,Harry Terrell,Harry,09/02/1905,NOT
abnes001,Abner,Shawn Wesley,Shawn,09/08/1987,NOT
abrac101,Abrams,Calvin Ross,Cal,04/19/1949,NOT
abrag101,Abrams,George Allen,George,04/19/1923,NOT
abrea001,Abreu,Albert Emmanuel,Albert,08/08/2020,
abreb001,Abreu,Bob Kelly,Bobby,09/01/1996,NOT
abreb002,Abreu,Bryan Enrique,Bryan,07/31/2019,
abrej001,Abrego,Johnny Ray,Johnny,09/04/1985,NOT
abrej002,Abreu,Juan de Dios (Reyes),Juan,08/29/2011,NOT
abrej003,Abreu,Jose Dariel (Correa),Jose,03/31/2014,NOT
abrej101,Abreu,Joseph Lawrence,Joe,04/23/1942,NOT
abret001,Abreu,Etanislao Toni,Tony,05/22/2007,NOT
abrew001,Abreu,Winston Leonardo,Winston,08/06/2006,NOT
abstb101,Abstein,William Henry,Bill,09/25/1906,NOT
accaj001,Accardo,Jeremy Lee,Jeremy,05/04/2005,NOT
aceva001,Aceves,Alfredo,Alfredo,08/31/2008,NOT
acevd001,Acevedo,Domingo Antonio,Domingo,06/21/2021,
acevj001,Acevedo,Juan Carlos,Juan,04/30/1995,NOT
acevj002,Acevedo,Jose Omar,Jose,06/19/2001,NOT
achta001,Achter,Adam Joseph,A.J.,09/03/2014,NOT
ackej001,Acker,James Justin,Jim,04/07/1983,NOT
acket101,Acker,Thomas James,Tom,04/20/1956,NOT
ackld001,Ackley,Dustin Michael,Dustin,06/17/2011,NOT
acklf101,Ackley,Florian Frederick,Fritz,09/21/1963,NOT
acosc101,Acosta,Cecilio (Miranda),Cy,06/04/1972,NOT
acose101,Acosta,Eduardo Elixbet (Lopez),Ed,09/07/1970,NOT
acosj101,Acosta,Jose,Jose,07/28/1920,NOT
acosm001,Acosta,Manuel Alcides (Molina),Manny,08/12/2007,NOT
acosm101,Acosta,Baldomero Pedro (Fernandez),Merito,06/05/1913,NOT
acrem001,Acre,Mark Robert,Mark,05/13/1994,NOT
acunr001,Acuna,Ronald Jose,Ronald,04/25/2018,NOT
adaij101,Adair,Kenneth Jerry,Jerry,09/02/1958,NOT
adaij102,Adair,James Aubrey,Jimmy,08/24/1931,NOT
adama001,Adams,Austin David,Austin,07/12/2014,NOT
adama002,Adams,Austin Lance,Austin,07/15/2017,NOT
adama101,Adams,Ace Townsend,Ace,04/15/1941,NOT
adamb101,Adams,Elvin Clark,Buster,04/27/1939,NOT
adamb102,Adams,Robert Andrew,Bob,09/27/1931,NOT
adamb103,Adams,Robert Henry,Bobby,04/16/1946,NOT
adamb104,Adams,Charles Benjamin,Babe,04/18/1906,NOT
adamb105,Adams,Robert Melvin,Bob,07/10/1977,NOT
adamb106,Adams,John Bertram,Jack,08/30/1910,NOT
adamb107,Adams,Robert Burnette,Bob,09/22/1925,NOT
adamc001,Adames,Cristhian Pascual,Cristhian,07/29/2014,NOT
adamc002,Adams,Chance,Chance,08/04/2018,NOT
adamd001,Adams,David Lee,David,05/15/2013,NOT
adamd101,Adams,Harold Douglas,Doug,09/08/1969,NOT
adamd102,Adams,Richard Leroy,Dick,05/20/1947,NOT
adamd103,Adams,Daniel Leslie,Dan,05/22/1914,NOT
adamg101,Adams,Glenn Charles,Glenn,05/04/1975,NOT
adamg102,Adams,George Henry,George,06/14/1879,NOT
adamh101,Adams,Herbert Loren,Herb,09/17/1948,NOT
adamj001,Adamson,Joel Lee,Joel,04/10/1996,NOT
adamj002,Adam,Jason Kendall,Jason,05/05/2018,NOT
adamj101,Adams,James J.,Jim,04/21/1890,NOT
adamj102,Adams,Joseph Edward,Joe,04/26/1902,NOT
adamk101,Adams,Karl Tutwiler,Karl,04/19/1914,NOT
adaml001,Adams,Lane Weston,Lane,09/01/2014,NOT
adamm001,Adams,Jon Michael,Mike,05/18/2004,NOT
adamm002,Adams,Matthew James,Matt,05/20/2012,NOT
adamm101,Adamson,John Michael,Mike,07/01/1967,NOT
adamm102,Adams,Robert Michael,Mike,09/10/1972,NOT
adamr001,Adams,Ricky Lee,Ricky,09/15/1982,NOT
adamr002,Adams,Russ Moore,Russ,09/03/2004,NOT
adamr003,Adams,Ryan Scott,Ryan,05/20/2011,NOT
adamr004,Adams,Riley Keaton,Riley,06/08/2021,
adamr101,Adams,Charles Dwight,Red,05/05/1946,NOT
adamr102,Adams,Reuben Alexander,Rick,07/13/1905,NOT
adams101,Adams,Earl John,Sparky,09/18/1922,NOT
adams102,Adams,Spencer Dewey,Spencer,04/22/1923,NOT
adamt001,Adams,Terry Wayne,Terry,08/10/1995,NOT
adamw001,Adams,William Edward,Willie,06/11/1996,NOT
adamw002,Adames,Willy Rafael,Willy,05/22/2018,NOT
adamw101,Adams,James Irvin,Willie,06/30/1912,NOT
adcoj101,Adcock,Joseph Wilbur,Joe,04/23/1950,NOT
adcon001,Adcock,Nathan Masler,Nathan,03/31/2011,NOT
addib101,Addis,Robert Gordon,Bob,09/01/1950,NOT
adduj001,Adduci,James David,Jim,09/12/1983,NOT
