Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/aardd001>aardd001</a>,David Aardsma,San Francisco Giants,GIANTS,2,3,3,6,2005,2008,3,No,0,2.36,1.11,-1.25,196,369,173,41,1,-40,695.0,405.0,-290.0,336000.0,0.0,-336000.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Chicago Cubs,CUBS,1,2,1,3,2006,2009,3,No,0,-0.4,0.17,0.57,27,164,137,0,1,1,97.0,190.0,93.0,0.0,0.0,0.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Chicago White Sox,WSOX,1,1,2,3,2008,2011,3,No,0,-0.33,0.0,0.33,52,0,-52,1,0,-1,146.0,0.0,-146.0,0.0,0.0,0.0
<a href=/player/aardd001>aardd001</a>,David Aardsma,Boston Red Sox,RSOX,10,28,17,45,2009,2019,10,Yes,0,37.8,29.55,-8.25,3009,1766,-1243,5076,5901,825,5204.0,1908.0,-3296.0,4708000.0,0.0,-4708000.0
<a href=/player/aaroh101>aaroh101</a>,Hank Aaron,Atlanta Braves,BRAVES,4,9,5,14,1974,1983,9,No,0,4.19,7.49,3.3,717,753,36,1866,2551,685,923.0,87.0,-836.0,253500.0,0.0,-253500.0
<a href=/player/aased001>aased001</a>,Don Aase,Boston Red Sox,RSOX,1,2,1,3,1977,1985,8,No,0,10.47,6.5,-3.97,192,710,518,0,3118,3118,2086.0,0.0,-2086.0,0.0,0.0,0.0
<a href=/player/abadf001>abadf001</a>,Fernando Abad,Washington Nationals,NATEX,1,1,1,2,2013,2013,0,Yes,0,1.97,0.0,-1.97,142,0,-142,0,0,0,315.0,0.0,-315.0,0.0,0.0,0.0
<a href=/player/abadf001>abadf001</a>,Fernando Abad,Minnesota Twins,TWINS,2,2,2,4,2016,2017,1,No,0,0.22,-0.48,-0.7,72,16,-56,0,0,0,169.0,42.0,-127.0,0.0,0.0,0.0
<a href=/player/abbae101>abbae101</a>,Ed Abbaticchio,Boston Braves,BRAVES,2,2,5,7,1906,1910,4,No,0,6.87,14.92,8.05,408,829,421,1496,3044,1548,0.0,1374.0,1374.0,0.0,0.0,0.0
<a href=/player/abbeb101>abbeb101</a>,Bert Abbey,Pittsburgh Pirates,PIRATS,2,2,2,4,1893,1898,5,No,0,2.42,1.37,-1.05,115,147,32,191,295,104,1263.0,1301.0,38.0,0.0,0.0,0.0
<a href=/player/abbof101>abbof101</a>,Fred Abbott,Columbus,Columbus,1,1,1,2,1905,1907,2,No,0,-0.18,0.0,0.18,42,0,-42,142,0,-142,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abboj001>abboj001</a>,Jim Abbott,California Angels,ANGELS,3,4,6,10,1992,1998,6,No,0,15.27,-0.9,-16.17,1393,613,-780,4599,2002,-2597,1493.0,1346.0,-147.0,2825000.0,0.0,-2825000.0
<a href=/player/abboj001>abboj001</a>,Jim Abbott,Chicago White Sox,WSOX,6,9,10,19,1995,2008,13,No,0,-3.17,23.46,26.63,359,1502,1143,866,3855,2989,1206.0,2082.0,876.0,3255000.0,0.0,-3255000.0
<a href=/player/abboj002>abboj002</a>,Jeff Abbott,Chicago White Sox,WSOX,1,1,1,2,2000,2002,2,No,0,0.03,-0.49,-0.52,28,22,-6,46,39,-7,0.0,0.0,0.0,255000.0,0.0,-255000.0
<a href=/player/abbok001>abbok001</a>,Kyle Abbott,California Angels,ANGELS,1,2,1,3,1991,1992,1,No,0,-0.16,-0.8,-0.64,519,94,-425,970,350,-620,485.0,0.0,-485.0,0.0,0.0,0.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Oakland Athletics,ATLTCS,1,1,1,2,1993,1996,3,No,0,1.96,-0.07,-2.03,424,22,-402,1461,18,-1443,0.0,0.0,0.0,109000.0,0.0,-109000.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Florida Marlins,MARLNS,1,1,1,2,1997,1998,1,No,0,-0.55,-1.15,-0.6,35,26,-9,136,7,-129,0.0,98.0,98.0,650000.0,0.0,-650000.0
<a href=/player/abbok002>abbok002</a>,Kurt Abbott,Oakland Athletics,ATLTCS,1,1,2,3,1998,1998,0,No,0,-0.8,0.0,0.8,138,0,-138,381,0,-381,0.0,0.0,0.0,1000000.0,0.0,-1000000.0
<a href=/player/abbop001>abbop001</a>,Paul Abbott,Arizona Diamondbacks,DBACKS,1,1,1,2,2003,2003,0,No,0,0.4,0.0,-0.4,10,0,-10,0,0,0,143.0,0.0,-143.0,0.0,0.0,0.0
<a href=/player/abera101>abera101</a>,Al Aber,Cleveland Indians,INDINS,4,8,7,15,1953,1960,7,No,0,29.6,3.08,-26.52,1527,466,-1061,3515,525,-2990,4632.0,1595.0,-3037.0,15900.0,0.0,-15900.0
<a href=/player/aberb001>aberb001</a>,Brent Abernathy,Toronto Blue Jays,BJAYS,1,1,2,3,2000,2000,0,No,0,0.98,1.0,0.02,198,34,-164,846,0,-846,0.0,251.0,251.0,0.0,0.0,0.0
<a href=/player/aberb101>aberb101</a>,Bill Abernathie,Cleveland Indians,INDINS,1,2,1,3,1953,1954,1,No,0,0.0,-0.16,-0.16,0,4,4,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Chicago Cubs,CUBS,2,2,3,5,1966,1968,2,No,0,-1.96,-1.51,0.45,166,152,-14,230,379,149,196.0,0.0,-196.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Cincinnati Reds,REDS,1,1,3,4,1969,1978,9,No,0,1.7,-3.64,-5.34,134,324,190,8,899,891,283.0,0.0,-283.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,Chicago Cubs,CUBS,2,2,2,4,1970,1974,4,No,0,1.49,-0.89,-2.38,121,253,132,178,707,529,55.0,0.0,-55.0,0.0,0.0,0.0
<a href=/player/abert101>abert101</a>,Ted Abernathy,St. Louis Cardinals,CARDS,2,2,2,4,1970,1971,1,No,0,5.43,-1.11,-6.54,338,47,-291,40,33,-7,700.0,269.0,-431.0,0.0,0.0,0.0
<a href=/player/abnes001>abnes001</a>,Shawn Abner,New York Mets,METS,14,32,26,58,1986,2019,33,No,2,34.33,97.35,63.02,3020,5459,2439,6919,13501,6582,4717.0,5432.0,715.0,28384257.0,0.0,-28384257.0
<a href=/player/abnes001>abnes001</a>,Shawn Abner,San Diego Padres,PADRS,1,1,1,2,1991,1991,0,No,0,-0.68,0.71,1.39,41,58,17,105,179,74,0.0,0.0,0.0,180000.0,0.0,-180000.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Brooklyn Dodgers,DOGRS,1,1,2,3,1952,1952,0,No,0,0.81,0.0,-0.81,71,0,-71,177,0,-177,0.0,0.0,0.0,9500.0,0.0,-9500.0
<a href=/player/abrac101>abrac101</a>,Cal Abrams,Cincinnati Reds,REDS,1,3,1,4,1952,1961,9,No,0,1.64,13.15,11.51,150,1235,1085,601,5109,4508,0.0,0.0,0.0,0.0,0.0,0.0
