signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Rex Hudler,Ron Blomberg,1978,Rex,Hudler,Ron,Blomberg,hudlr001,blomr101
Tim Conroy,Mike Jorgensen,1978,Tim,Conroy,Mike,Jorgensen,conrt001,jorgm001
Jerry Aubin,Terry Forster,1978,Jerry,Aubin,Terry,Forster,Jerry Aubin,forst001
Matt Winters,Mike Torrez,1978,Matt,Winters,Mike,Torrez,wintm001,torrm001
Larry Sheets,Elliott Maddox,1978,Larry,Sheets,Elliott,Maddox,sheel001,madde101
Dave White,Oscar Gamble,1978,Dave,White,Oscar,Gamble,Dave White,gambo001
Richard Naumann,Ray Fosse,1978,Richard,Naumann,Ray,Fosse,Richard Naumann,fossr101
Eddie Hook,Ross Grimsley,1978,Eddie,Hook,Ross,Grimsley,Eddie Hook,grimr101
Doug Gwosdz,Merv Rettenmund,1978,Doug,Gwosdz,Merv,Rettenmund,gwosd001,rettm101
Cecil Whitehead,Dick Drago,1978,Cecil,Whitehead,Dick,Drago,Cecil Whitehead,dragd101
Mike Maitland,Jack Brohamer,1978,Mike,Maitland,Jack,Brohamer,Mike Maitland,brohj101
Scott Garrelts,Jim Barr,1979,Scott,Garrelts,Jim,Barr,garrs001,barrj101
Steve Howe,Lee Lacy,1979,Steve,Howe,Lee,Lacy,howes001,lacyl001
Ricky Seilheimer,Steve Stone,1979,Ricky,Seilheimer,Steve,Stone,seilr101,stons101
Danny Lamar,Pete Rose,1979,Danny,Lamar,Pete,Rose,Danny Lamar,rosep001
Chris Baker,Jim Slaton,1979,Chris,Baker,Jim,Slaton,Chris Baker,slatj001
Bob Geren,Derrel Thomas,1979,Bob,Geren,Derrel,Thomas,gereb001,thomd001
Steve Perry,Tommy John,1979,Steve,Perry,Tommy,John,Steve Perry,johnt001
Mike Stenhouse,Steve Renko,1979,Mike,Stenhouse,Steve,Renko,stenm001,renks101
Keefe Cato,Mike Lum,1979,Keefe,Cato,Mike,Lum,catok001,lum-m101
Michael Kwiecinski,Darold Knowles,1979,Michael,Kwiecinski,Darold,Knowles,Michael Kwiecinski,knowd101
Mark Ferguson,Elias Sosa,1979,Mark,Ferguson,Elias,Sosa,Mark Ferguson,sosae101
Jose DeLeon,Duffy Dyer,1979,Jose,DeLeon,Duffy,Dyer,delej001,dyerd101
Dennis Rasmussen,Nolan Ryan,1980,Dennis,Rasmussen,Nolan,Ryan,rasmd001,ryann001
Rick Renteria,Bruce Kison,1980,Rick,Renteria,Bruce,Kison,Rick Renteria,kisob001
Jim Acker,Rowland Office,1980,Jim,Acker,Rowland,Office,ackej001,offir101
Terry Francona,Rudy May,1980,Terry,Francona,Rudy,May,frant001,may-r101
Billy Beane,Andy Hassler,1980,Billy,Beane,Andy,Hassler,beanb001,hassa001
John Gibbons,Skip Lockwood,1980,John,Gibbons,Skip,Lockwood,gibbj001,locks101
Eric Erickson,John Curtis,1980,Eric,Erickson,John,Curtis,Eric Erickson,curtj001
Jeff Horne,Rennie Stennett,1980,Jeff,Horne,Rennie,Stennett,Jeff Horne,stenr101
Jim Weaver,Dave Goltz,1980,Jim,Weaver,Dave,Goltz,weavj001,goltd101
Turner Gill,Jorge Orta,1980,Turner,Gill,Jorge,Orta,Turner Gill,ortaj001
Jim Pettibone,Joe Morgan,1980,Jim,Pettibone,Joe,Morgan,Jim Pettibone,morgj001
Mike Olson,Freddie Patek,1980,Mike,Olson,Freddie,Patek,Mike Olson,patef101
Dave Miley,Fred Norman,1980,Dave,Miley,Fred,Norman,Dave Miley,normf101
Mike Brown,Bob Watson,1980,Mike,Brown,Bob,Watson,browm003,watsb001
Joe Hesketh,Tony Perez,1980,Joe,Hesketh,Tony,Perez,heskj001,peret001
Gregory Pope,Rick Wise,1980,Gregory,Pope,Rick,Wise,Gregory Pope,wiser101
Al Heath,Milt May,1980,Al,Heath,Milt,May,Al Heath,may-m001
Ken Dixon,Don Stanhouse,1980,Ken,Dixon,Don,Stanhouse,dixok001,stand101
David Christianson,Jay Johnstone,1980,David,Christianson,Jay,Johnstone,David Christianson,johnj002
Vance Lovelace,Larry Biittner,1981,Vance,Lovelace,Larry,Biittner,lovev001,biitl101
John Cerutti,Roy Howell,1981,John,Cerutti,Roy,Howell,ceruj001,hower001
Al Lachowicz,Dave Roberts,1981,Al,Lachowicz,Dave,Roberts,lacha101,robed102
Kevin Burrell,Jim Dwyer,1981,Kevin,Burrell,Jim,Dwyer,Kevin Burrell,dwyej001
Frank Castro,Dave Winfield,1981,Frank,Castro,Dave,Winfield,Frank Castro,winfd001
Jeff Carl,John D'Acquisto,1981,Jeff,Carl,John,D'Acquisto,Jeff Carl,dacqj101
Chuckie Canady,Rusty Staub,1981,Chuckie,Canady,Rusty,Staub,Chuckie Canady,staur001
Mike Gallego,Jim Essian,1981,Mike,Gallego,Jim,Essian,gallm001,essij001
Mark Gubicza,Darrell Porter,1981,Mark,Gubicza,Darrell,Porter,gubim001,portd001
Mark Langston,Bill Stein,1981,Mark,Langston,Bill,Stein,langm001,steib001
John Christensen,Claudell Washington,1981,John,Christensen,Claudell,Washington,chrij001,washc001
Lemmie Miller,Don Sutton,1981,Lemmie,Miller,Don,Sutton,milll001,suttd001
Craig Henderson,Jose Morales,1981,Craig,Henderson,Jose,Morales,Craig Henderson,moraj001
John Marzano,Geoff Zahn,1981,John,Marzano,Geoff,Zahn,marzj001,zahng001
Curt Wardle,Mike Cubbage,1981,Curt,Wardle,Mike,Cubbage,wardc001,cubbm101
Scott Bradley,Gaylord Perry,1981,Scott,Bradley,Gaylord,Perry,brads001,perrg101
Lee Guetterman,Juan Beniquez,1981,Lee,Guetterman,Juan,Beniquez,guetl001,benij001
Sam Horn,Frank Tanana,1982,Sam,Horn,Frank,Tanana,horns001,tanaf001
Tony Woods,Tim Blackwell,1982,Tony,Woods,Tim,Blackwell,Tony Woods,blact101
Scott Jones,Dave Collins,1982,Scott,Jones,Dave,Collins,Scott Jones,colld001
Jeff Ledbetter,Joe Rudi,1982,Jeff,Ledbetter,Joe,Rudi,Jeff Ledbetter,rudij101
Stan Boderick,Tim Blackwell,1982,Stan,Boderick,Tim,Blackwell,Stan Boderick,blact101
Kevin Romine,Bill Campbell,1982,Kevin,Romine,Bill,Campbell,romik001,campb001
Tim Birtsas,Reggie Jackson,1982,Tim,Birtsas,Reggie,Jackson,birtt001,jackr001
Joel Davis,Steve Kemp,1983,Joel,Davis,Steve,Kemp,davij002,kemps001
Brian Holman,Joel Youngblood,1983,Brian,Holman,Joel,Youngblood,holmb001,younj001
Terry Bell,Floyd Bannister,1983,Terry,Bell,Floyd,Bannister,bellt001,bannf001
Stan Jefferson,Pete Falcone,1983,Stan,Jefferson,Pete,Falcone,jeffs001,falcp001
Calvin Schiraldi,Pete Falcone,1983,Calvin,Schiraldi,Pete,Falcone,schic001,falcp001
Russ Morman,Bill Almon,1983,Russ,Morman,Bill,Almon,mormr001,almob001
Mike Brumley,Tom Burgmeier,1983,Mike,Brumley,Tom,Burgmeier,brumm001,burgt001
Stan Fansler,Omar Moreno,1983,Stan,Fansler,Omar,Moreno,fanss001,moreo001
Mike Cherry,Steve Garvey,1983,Mike,Cherry,Steve,Garvey,Mike Cherry,garvs001
Paul Oates,Gene Tenace,1983,Paul,Oates,Gene,Tenace,Paul Oates,tenag101
Joe Oliver,Bob Shirley,1983,Joe,Oliver,Bob,Shirley,olivj001,shirb001
Luis Lopez,Terry Forster,1983,Luis,Lopez,Terry,Forster,lopel001,forst001
Wally Joyner,Don Baylor,1983,Wally,Joyner,Don,Baylor,joynw001,bayld001
Tony Menendez,Dennis Lamp,1984,Tony,Menendez,Dennis,Lamp,menet001,lampd001
Terry Mulholland,Darrell Evans,1984,Terry,Mulholland,Darrell,Evans,mulht001,evand001
Gary Green,Ruppert Jones,1984,Gary,Green,Ruppert,Jones,greeg001,joner002
Norm Charlton,Manny Trillo,1984,Norm,Charlton,Manny,Trillo,charn001,trilm001
Terry Green,Frank LaCorte,1984,Terry,Green,Frank,LaCorte,Terry Green,lacof001
Kurt Dempster,Lary Sorensen,1984,Kurt,Dempster,Lary,Sorensen,Kurt Dempster,sorel001
Mike Cook,Fred Lynn,1985,Mike,Cook,Fred,Lynn,cookm001,lynnf001
Rafael Palmeiro,Tim Stoddard,1985,Rafael,Palmeiro,Tim,Stoddard,palmr001,stodt001
Joey Cora,Ed Whitson,1985,Joey,Cora,Ed,Whitson,coraj001,white001
Bill McGuire,Steve Henderson,1985,Bill,McGuire,Steve,Henderson,mcgub001,hends001
Rick Balabon,Tim Belcher,1985,Rick,Balabon,Tim,Belcher,Rick Balabon,belct001
Mike Watters,Burt Hooton,1985,Mike,Watters,Burt,Hooton,Mike Watters,hootb001
Bruce Ruffin,Sixto Lezcano,1985,Bruce,Ruffin,Sixto,Lezcano,ruffb001,lezcs001
Jim Fregosi,Bruce Sutter,1985,Jim,Fregosi,Bruce,Sutter,Jim Fregosi,suttb001
Damon Hansel,Lee Lacy,1985,Damon,Hansel,Lee,Lacy,Damon Hansel,lacyl001
Chris Collins,Don Aase,1985,Chris,Collins,Don,Aase,Chris Collins,aased001
Roberto Hernandez,Juan Beniquez,1986,Roberto,Hernandez,Juan,Beniquez,hernr001,benij001
Terry Carr,Al Holland,1986,Terry,Carr,Al,Holland,Terry Carr,holla001
Mike Fetters,Juan Beniquez,1986,Mike,Fetters,Juan,Beniquez,fettm001,benij001
Daryl Green,Al Holland,1986,Daryl,Green,Al,Holland,Daryl Green,holla001
Todd Zeile,Ivan de Jesus,1986,Todd,Zeile,Ivan,De Jesus,zeilt001,dejei001
