TeamID,CityName,Franchise
BS1,Boston Braves,BS1
CH1,Chicago White Stockings,CH1
CL1,Cleveland Forest Cities,CL1
FW1,Ft. Wayne Kekiongas,FW1
NY2,New York Mutuals,NY2
PH1,Philadelphia Athletics,PH1
RC1,Rockford Forest Citys,RC1
TRO,Troy Haymakers,TRO
WS3,Washington Olympics,WS3
BL1,Baltimore Lord Baltimores,BL1
BR1,Brooklyn Eckfords,BR1
BR2,Brooklyn Atlantics,BR2
MID,Middletown Mansfields,MID
WS4,Washington Nationals,WS4
BL4,Baltimore Marylands,BL4
ELI,Elizabeth Resolutes,ELI
PH2,Philadelphia White Stockings,PH2
WS5,Washington Nationals,WS5
CH2,Chicago White Stockings,CH2
HR1,Hartford Dark Blues,HR1
KEO,Keokuk Westerns,KEO
NH1,New Haven New Havens,NH1
PH3,Philadelphia Centennials,PH3
SL1,St. Louis Red Stockings,SL1
SL2,St. Louis Brown Stockings,SL2
WS6,Washington Olympics,WS6
BSN,Boston Braves,BRAVES
CN1,Cincinnati Reds,CN1
CN4,Cincinnati Stars,CN4
HAR,Hartford Dark Blues,HAR
LS1,Louisville Grays,LS1
NY3,New York Mutuals,NY3
PHN,Philadelphia Athletics,PHN
SL3,St. Louis Brown Stockings,SL3
IN1,Indianapolis Blues,IN1
ML2,Milwaukee Cream Citys,ML2
PRO,Providence Grays,PRO
BFN,Buffalo Bisons,BFN
CL2,Cleveland Spiders,CL2
SR1,Syracuse Stars,SR1
TRN,Troy Trojans,TRN
WOR,Worcester Ruby Legs,WOR
DTN,Detroit Wolverines,DTN
BL2,Baltimore Orioles,BL2
CN2,Cincinnati Reds,REDS
LS2,Louisville Colonels,LS2
PH4,Philadelphia Athletics,ATLTCS
PT1,Pittsburgh Pirates,PIRATS
SL4,St.Louis Cardinals,CARDS
CL5,Columbus Colts,CL5
NY4,New York Metropolitans,NY4
NY1,New York Giants,GIANTS
BR3,Brooklyn Dodgers,DOGRS
IN2,Indianapolis Blues,IN2
RIC,Richmond Virginias,RIC
TL1,Toledo Blue Stockings,TL1
WS7,Washington Nationals,WS7
ALT,Altoona Mountain Citys,ALT
BLU,Baltimore Monumentals,BLU
BSU,Boston Reds,BSU
CHU,Chicago-Pittsburgh Browns,CHU
CNU,Cincinnati Outlaw Reds,CNU
KCU,Kansas City Cowboys,KCU
MLU,Milwaukee Brewers,MLU
PHU,Philadelphia Keystones,PHU
SLU,St. Louis Maroons,SLU
SPU,St. Paul Saints,SPU
WSU,Washington Nationals,WSU
WIL,Wilmington Quicksteps,WIL
SL5,St. Louis Maroons,SL5
KCN,Kansas City Cowboys,KCN
WS8,Washington Senators,WS8
CL3,Cleveland Spiders,CL3
IN3,Indianapolis Hoosiers,IN3
KC2,Kansas City Cowboys,KC2
CL6,Columbus Colts,CL6
CL4,Cleveland Spiders,CL4
BL3,Baltimore Orioles,BL3
BR4,Brooklyn Gladiators,BR4
RC2,Rochester Hop Bitters,RC2
SR2,Syracuse Stars,SR2
TL2,Toledo Maumees,TL2
BRO,Brooklyn Dodgers,DOGRS
BSP,Boston Reds,BSP
BRP,Brooklyn Wonders,BRP
BFP,Buffalo Bisons,BFP
CHP,Chicago Pirates,CHP
CLP,Cleveland Infants,CLP
NYP,New York Giants,NYP
PHP,Philadelphia Quakers,PHILS
PTP,Pittsburgh Burghers,PTP
BS2,Boston Reds,BS2
CN3,Cincinnati Kelly's Killers,CN3
ML3,Milwaukee Brewers,ML3
WS9,Washington Senators,WS9
BLN,Baltimore Orioles,BLN
LS3,Louisville Colonels,LS3
WSN,Washington Senators,WSN
BLA,Baltimore Orioles,YANKS
MLA,Milwaukee Brewers,ORLS
PHA,Philadelphia Athletics,ATLTCS
WS1,Washington Senators,TWINS
SLA,St.Louis Browns,ORLS
BLF,Baltimore Terrapins,BLF
BRF,Brooklyn Tip-Tops,BRF
BUF,Buffalo Blues,BUF
CHF,Chicago Whales,CHF
IND,Indianapolis Hoosiers,IND
KCF,Kansas City Packers,KCF
PTF,Pittsburgh Rebels,PTF
SLF,St.Louis Terriers,SLF
NEW,Newark Peppers,NEW
MLN,Milwaukee Braves,BRAVES
FLO,Florida Marlins,MARLNS
KC1,Kansas City Athletics,ATLTCS
LAA,Los Angeles Angels,ANGELS
CAL,California Angels,ANGELS
SE1,Seattle Pilots,BREWRS
MON,Montreal Expos,NATEX
WS2,Washington Senators,RNGRS
MIL,Milwaukee Brewers,BREWRS
ANA,Anaheim Angels,ANGELS
BAL,Baltimore Orioles,ORLS
BOS,Boston Red Sox,RSOX
CHA,Chicago White Sox,WSOX
CLE,Cleveland Indians,INDINS
DET,Detroit Tigers,TIGRS
HOU,Houston Astros,ASTROS
KCA,Kansas City Royals,ROYALS
MIN,Minnesota Twins,TWINS
NYA,New York Yankees,YANKS
OAK,Oakland Athletics,ATLTCS
SEA,Seattle Mariners,MARNRS
TBA,Tampa Bay Devil Rays,RAYS
TEX,Texas Rangers,RNGRS
TOR,Toronto Blue Jays,BJAYS
ARI,Arizona Diamondbacks,DBACKS
ATL,Atlanta Braves,BRAVES
CHN,Chicago Cubs,CUBS
CIN,Cincinnati Reds,REDS
COL,Colorado Rockies,ROCKS
LAN,Los Angeles Dodgers,DOGRS
SDN,San Diego Padres,PADRS
MIA,Miami Marlins,MARLNS
NYN,New York Mets,METS
PHI,Philadelphia Phillies,PHILS
PIT,Pittsburgh Pirates,PIRATS
SFN,San Francisco Giants,GIANTS
SLN,St. Louis Cardinals,CARDS
WAS,Washington Nationals,NATEX
