primary_date,transaction_id,player,typeof,from-franchise,from-team,to-franchise,to-team,info
20030603,1,aardd001,Da,,,GIANTS,SFN,
20111031,2,aardd001,Fg,MARNRS,SEA,,,
20120222,3,aardd001,F ,,,YANKS,NYA,
19520614,4,aaroh101,Fo,,,BRAVES,BSN,
19580528,5,aarot101,Fa,,,BRAVES,MLN,
19720606,6,aased001,Da,,,RSOX,BOS,
19841104,7,aased001,Fg,ANGELS,CAL,,,
19841213,8,aased001,F ,,,ORLS,BAL,
19881003,9,aased001,R ,ORLS,BAL,,,
19890220,10,aased001,F ,,,METS,NYN,
19891113,11,aased001,Fg,METS,NYN,,,
19900220,12,aased001,F ,,,DOGRS,LAN,
19901008,13,aased001,Fg,DOGRS,LAN,,,
19930603,14,abada001,Da,,,RSOX,BOS,
19991015,15,abada001,Fg,RSOX,BOS,,,
20001117,16,abada001,F ,,,ATLTCS,OAK,
20011015,17,abada001,Fg,ATLTCS,OAK,,,
20011125,18,abada001,F ,,,MARLNS,FLO,
20021015,19,abada001,Fg,MARLNS,FLO,,,
20030103,20,abada001,F ,,,RSOX,BOS,
20031117,21,abada001,R ,RSOX,BOS,,,
20031226,22,abada001,F ,,,PIRATS,PIT,
20041015,23,abada001,Fg,PIRATS,PIT,,,
20041115,24,abada001,F ,,,INDINS,CLE,
20051015,25,abada001,Fg,INDINS,CLE,,,
20051219,26,abada001,F ,,,REDS,CIN,
20061010,27,abada001,Fg,REDS,CIN,,,
20070116,28,abada001,F ,,,BREWRS,MIL,
20071029,29,abada001,Fg,BREWRS,MIL,,,
20021212,30,abadf001,Fa,,,ASTROS,HOU,
20121119,31,abadf001,F ,,,NATEX,WAS,
19020909,32,abbae101,P ,Nashville,Nashville,BRAVES,BSN,
19100701,33,abbae101,P ,PIRATS,PIT,BRAVES,BSN,
19100917,34,abbae101,R ,BRAVES,BSN,,,
18921000,35,abbeb101,R ,WSN,WSN,,,
18930000,36,abbeb101,U ,,,PIRATS,PIT,
19040810,37,abbof101,P ,INDINS,CLE,Columbus,Columbus,
19690605,38,abbog001,Da,,,ATLTCS,OAK,
19761105,39,abbog001,X ,ATLTCS,OAK,MARNRS,SEA,
19830823,42,abbog001,P ,MARNRS,SEA,TIGRS,DET,$100000
19840814,43,abbog001,R ,TIGRS,DET,,,
19850603,44,abboj001,Dn,,,BJAYS,TOR,
19880601,45,abboj001,Da,,,ANGELS,CAL,
19941223,46,abboj001,Fg,YANKS,NYA,,,
19950408,47,abboj001,F ,,,WSOX,CHA,
19970331,50,abboj001,R ,ANGELS,ANA,,,
19980527,51,abboj001,F ,,,WSOX,CHA,
19981105,52,abboj001,Fg,WSOX,CHA,,,
19990127,53,abboj001,F ,,,BREWRS,MIL,
19990723,54,abboj001,R ,BREWRS,MIL,,,
19930603,55,abboj002,Dn,,,WSOX,CHA,
19940602,56,abboj002,Da,,,WSOX,CHA,
20011220,57,abboj002,Fg,MARLNS,FLO,,,
20020205,58,abboj002,F ,,,RSOX,BOS,
20020829,59,abboj002,R ,RSOX,BOS,,,
20030214,60,abboj002,F ,,,METS,NYN,
20030322,61,abboj002,R ,METS,NYN,,,
20030525,62,abboj002,F ,,,MARNRS,SEA,
19890605,63,abbok001,Da,,,ANGELS,CAL,
19951016,66,abbok001,Fg,PHILS,PHI,,,
19960529,67,abbok001,F ,,,ANGELS,CAL,
19961008,68,abbok001,Fg,ANGELS,ANA,,,
19890605,69,abbok002,Da,,,ATLTCS,OAK,
19991101,70,abbok002,Fg,ROCKS,COL,,,
20000126,71,abbok002,F ,,,METS,NYN,
20001103,72,abbok002,Fg,METS,NYN,,,
20010108,73,abbok002,F ,,,BRAVES,ATL,
20011105,74,abbok002,Fg,BRAVES,ATL,,,
20020114,75,abbok002,F ,,,TWINS,MIN,
20020315,76,abbok002,R ,TWINS,MIN,,,
20020607,77,abbok002,F ,,,YANKS,NYA,
20020614,78,abbok002,R ,YANKS,NYA,,,
20030305,79,abbok002,F ,,,CARDS,SLN,
20030801,80,abbok002,R ,CARDS,SLN,,,
19850603,82,abbop001,Da,,,TWINS,MIN,
19930302,83,abbop001,R ,TWINS,MIN,,,
19930327,84,abbop001,F ,,,INDINS,CLE,
19931015,85,abbop001,Fg,INDINS,CLE,,,
19931121,86,abbop001,F ,,,ROYALS,KCA,
19940630,87,abbop001,R ,ROYALS,KCA,,,
19950317,88,abbop001,F ,,,CUBS,CHN,
19951016,89,abbop001,Fg,CUBS,CHN,,,
19951129,90,abbop001,F ,,,PADRS,SDN,
19961015,91,abbop001,Fg,PADRS,SDN,,,
19970110,92,abbop001,F ,,,MARNRS,SEA,
20021119,95,abbop001,R ,MARNRS,SEA,,,
20030227,96,abbop001,F ,,,DBACKS,ARI,
20031015,97,abbop001,Fg,ROYALS,KCA,,,
20031114,98,abbop001,F ,,,RAYS,TBA,
20040603,99,abbop001,R ,RAYS,TBA,,,
20040607,100,abbop001,F ,,,PHILS,PHI,
20040908,101,abbop001,R ,PHILS,PHI,,,
19460000,102,abera101,Fa,,,INDINS,CLE,
19570827,103,abera101,W ,TIGRS,DET,ATLTCS,KC1,
19960604,104,aberb001,Da,,,BJAYS,TOR,
20030404,105,aberb001,W ,RAYS,TBA,ROYALS,KCA,
20031107,106,aberb001,R ,ROYALS,KCA,,,
20040106,107,aberb001,F ,,,TIGRS,DET,
20040325,108,aberb001,P ,TIGRS,DET,INDINS,CLE,
20041015,109,aberb001,Fg,INDINS,CLE,,,
20050103,110,aberb001,F ,,,TWINS,MIN,
20051012,111,aberb001,Fg,TWINS,MIN,,,
20051201,112,aberb001,F ,,,BREWRS,MIL,
20061015,113,aberb001,Fg,BREWRS,MIL,,,
20061219,114,aberb001,F ,,,PHILS,PHI,
20070413,115,aberb001,C ,PHILS,PHI,NATEX,WAS,
20071029,116,aberb001,Fg,NATEX,WAS,,,
19480000,117,aberb101,Fa,,,INDINS,CLE,
19410000,118,aberc101,Fa,,,CUBS,CHN,
19990602,119,aberr001,Da,,,DOGRS,LAN,
20040731,120,aberr001,C ,DOGRS,LAN,DBACKS,ARI,
20050406,121,aberr001,W ,DBACKS,ARI,MARLNS,FLO,
20071011,122,aberr001,W ,MARLNS,FLO,ASTROS,HOU,
20091109,125,aberr001,Fg,ASTROS,HOU,,,
19520000,126,abert101,Fa,,,TWINS,WS1,
19600517,127,abert101,R ,TWINS,WS1,,,
19600600,128,abert101,F ,,,BRAVES,MLN,
19610720,129,abert101,P ,BRAVES,MLN,INDINS,CLE,
19650411,130,abert101,P ,INDINS,CLE,CUBS,CHN,
19661128,131,abert101,D ,BRAVES,ATL,REDS,CIN,
19730202,132,abert101,R ,ROYALS,KCA,,,
19420000,133,abert102,Fa,,,ATLTCS,PHA,
19380000,134,aberw101,Fa,,,BRAVES,BSN,
19390000,135,aberw101,R ,BRAVES,BSN,,,
19420000,136,aberw101,F ,,,GIANTS,NY1,
19090825,137,ableh101,P ,SanAntonio,SanAntonio,INDINS,CLE,
19100800,138,ableh101,P ,SanAntonio,SanAntonio,YANKS,NYA,$1000
19840604,139,abnes001,Da,,,METS,NYN,
19920325,140,abnes001,R ,ANGELS,CAL,,,
19920403,141,abnes001,F ,,,WSOX,CHA,
19420000,142,abrac101,Fa,,,DOGRS,BRO,
19900821,143,abreb001,Fa,,,ASTROS,HOU,
19971118,144,abreb001,X ,ASTROS,HOU,RAYS,TBA,
20081030,145,abreb001,Fg,YANKS,NYA,,,
20090212,146,abreb001,F ,,,ANGELS,ANA,
20120427,147,abreb001,R ,ANGELS,ANA,,,
20120504,148,abreb001,F ,,,DOGRS,LAN,
20121029,149,abreb001,Fg,DOGRS,LAN,,,
19810608,150,abrej001,Da,,,PHILS,PHI,
19831205,151,abrej001,D ,PHILS,PHI,CUBS,CHN,
20030709,152,abrej002,Fa,,,ROYALS,KCA,
20091109,153,abrej002,Fg,ROYALS,KCA,,,
20091124,154,abrej002,F ,,,BRAVES,ATL,
20120810,155,abrej002,W ,ASTROS,HOU,BJAYS,TOR,
20121113,156,abrej002,F ,,,DOGRS,LAN,
19420320,157,abrej101,U ,Birmingham,Birmingham,REDS,CIN,
20021017,158,abret001,Fa,,,DOGRS,LAN,
20111102,159,abret001,Fg,DBACKS,ARI,,,
20111201,160,abret001,F ,,,ROYALS,KCA,
19930702,161,abrew001,Fa,,,BRAVES,ATL,
20020430,162,abrew001,R ,CUBS,CHN,,,
20020509,163,abrew001,F ,,,ROYALS,KCA,
20021015,164,abrew001,Fg,ROYALS,KCA,,,
20021122,165,abrew001,F ,,,YANKS,NYA,
20030321,166,abrew001,R ,YANKS,NYA,,,
20040112,167,abrew001,F ,,,DOGRS,LAN,
20040610,168,abrew001,R ,DOGRS,LAN,,,
20040614,169,abrew001,F ,,,DBACKS,ARI,
20050830,170,abrew001,R ,DBACKS,ARI,,,
20051220,171,abrew001,F ,,,ORLS,BAL,
20061016,172,abrew001,Fg,ORLS,BAL,,,
20070508,173,abrew001,F ,,,NATEX,WAS,
20071011,174,abrew001,Fg,NATEX,WAS,,,
20090206,175,abrew001,F ,,,RAYS,TBA,
