Franchise,Teams,# Trees,Average Tree WAR,Total WAR,Average # Players,Average # Transactions,Average Year Span
BRAVES,"['Boston Braves', 'Milwaukee Braves', 'Atlanta Braves']",710,0.12073239436619704,85.7199999999999,8.709859154929578,2.423943661971831,4.501408450704226
REDS,"['Cincinnati Reds', 'Cincinnati Reds']",707,-0.8663366336633663,-612.5,6.7864214992927865,2.050919377652051,3.9207920792079207
LS2,['Louisville Colonels'],2,-4.44,-8.88,3.5,1.5,2.0
ATLTCS,"['Philadelphia Athletics', 'Philadelphia Athletics', 'Kansas City Athletics', 'Oakland Athletics']",728,-5.252774725274724,-3824.0199999999995,20.281593406593405,5.193681318681318,5.001373626373627
PIRATS,"['Pittsburgh Pirates', 'Pittsburgh Pirates']",649,-0.3550077041602465,-230.39999999999998,7.302003081664099,2.1047765793528503,4.0785824345146375
CARDS,"['St.Louis Cardinals', 'St. Louis Cardinals']",809,0.7651915945611869,619.0400000000002,11.524103831891225,3.2521631644004945,4.128553770086526
GIANTS,"['New York Giants', 'San Francisco Giants']",618,0.7663106796116506,473.58000000000004,8.250809061488674,2.292880258899676,5.058252427184466
DOGRS,"['Brooklyn Dodgers', 'Brooklyn Dodgers', 'Los Angeles Dodgers']",699,1.0950071530758225,765.41,6.577968526466381,1.7553648068669527,3.4821173104434906
SL5,['St. Louis Maroons'],1,-1.5,-1.5,3.0,1.0,1.0
WS8,['Washington Senators'],3,-0.05333333333333334,-0.16,3.6666666666666665,1.3333333333333333,9.0
IN3,['Indianapolis Hoosiers'],2,0.0,0.0,2.5,1.0,1.5
KC2,['Kansas City Cowboys'],1,-0.4,-0.4,2.0,1.0,2.0
CL4,['Cleveland Spiders'],4,6.990000000000002,27.960000000000008,2.5,1.0,4.25
DOGRS,"['Brooklyn Dodgers', 'Brooklyn Dodgers', 'Los Angeles Dodgers']",699,1.0950071530758225,765.41,6.577968526466381,1.7553648068669527,3.4821173104434906
PHILS,"['Philadelphia Quakers', 'Philadelphia Phillies']",685,-1.1346131386861313,-777.21,7.835036496350365,2.2145985401459853,4.446715328467153
BS2,['Boston Reds'],1,-34.84,-34.84,3.0,1.0,3.0
BLN,['Baltimore Orioles'],23,9.049565217391304,208.14000000000001,5.043478260869565,1.4782608695652173,3.869565217391304
LS3,['Louisville Colonels'],26,-135.6503846153846,-3526.91,10.115384615384615,1.0769230769230769,1.4615384615384615
WSN,['Washington Senators'],15,-13.489333333333338,-202.34000000000006,6.666666666666667,1.4666666666666666,3.2666666666666666
YANKS,"['Baltimore Orioles', 'New York Yankees']",814,-0.3334766584766585,-271.45000000000005,11.995085995085995,3.1154791154791153,5.519656019656019
ORLS,"['Milwaukee Brewers', 'St.Louis Browns', 'Baltimore Orioles']",651,6.9306451612903235,4511.85,21.035330261136714,5.254992319508449,8.195084485407065
ATLTCS,"['Philadelphia Athletics', 'Philadelphia Athletics', 'Kansas City Athletics', 'Oakland Athletics']",728,-5.252774725274724,-3824.0199999999995,20.281593406593405,5.193681318681318,5.001373626373627
TWINS,"['Washington Senators', 'Minnesota Twins']",522,0.13942528735632195,72.78000000000006,7.477011494252873,2.2413793103448274,4.021072796934866
ORLS,"['Milwaukee Brewers', 'St.Louis Browns', 'Baltimore Orioles']",651,6.9306451612903235,4511.85,21.035330261136714,5.254992319508449,8.195084485407065
BLF,['Baltimore Terrapins'],3,-0.8700000000000001,-2.6100000000000003,2.3333333333333335,1.0,0.3333333333333333
BRF,['Brooklyn Tip-Tops'],1,1.87,1.87,2.0,1.0,5.0
CHF,['Chicago Whales'],2,0.37,0.74,2.5,1.0,1.0
BRAVES,"['Boston Braves', 'Milwaukee Braves', 'Atlanta Braves']",710,0.12073239436619704,85.7199999999999,8.709859154929578,2.423943661971831,4.501408450704226
MARLNS,"['Florida Marlins', 'Miami Marlins']",233,-6.115665236051502,-1424.9499999999998,14.081545064377682,3.407725321888412,4.819742489270387
ATLTCS,"['Philadelphia Athletics', 'Philadelphia Athletics', 'Kansas City Athletics', 'Oakland Athletics']",728,-5.252774725274724,-3824.0199999999995,20.281593406593405,5.193681318681318,5.001373626373627
ANGELS,"['Los Angeles Angels', 'California Angels', 'Anaheim Angels']",391,1.063682864450128,415.90000000000003,5.608695652173913,1.7851662404092072,2.8516624040920715
ANGELS,"['Los Angeles Angels', 'California Angels', 'Anaheim Angels']",391,1.063682864450128,415.90000000000003,5.608695652173913,1.7851662404092072,2.8516624040920715
BREWRS,"['Seattle Pilots', 'Milwaukee Brewers']",364,0.08164835164835163,29.71999999999999,8.925824175824175,2.519230769230769,3.2445054945054945
NATEX,"['Montreal Expos', 'Washington Nationals']",407,-1.1455528255528256,-466.24,6.329238329238329,1.99017199017199,3.8304668304668303
RNGRS,"['Washington Senators', 'Texas Rangers']",512,-2.5486132812499998,-1304.8899999999999,10.466796875,2.865234375,4.314453125
BREWRS,"['Seattle Pilots', 'Milwaukee Brewers']",364,0.08164835164835163,29.71999999999999,8.925824175824175,2.519230769230769,3.2445054945054945
ANGELS,"['Los Angeles Angels', 'California Angels', 'Anaheim Angels']",391,1.063682864450128,415.90000000000003,5.608695652173913,1.7851662404092072,2.8516624040920715
ORLS,"['Milwaukee Brewers', 'St.Louis Browns', 'Baltimore Orioles']",651,6.9306451612903235,4511.85,21.035330261136714,5.254992319508449,8.195084485407065
RSOX,['Boston Red Sox'],691,-2.781852387843705,-1922.26,10.431259044862518,2.6367583212735166,4.4544138929088275
WSOX,['Chicago White Sox'],718,1.75941504178273,1263.26,12.239554317548746,3.4749303621169916,5.252089136490251
INDINS,['Cleveland Indians'],744,-2.2994623655913977,-1710.8,9.436827956989248,2.846774193548387,4.686827956989247
TIGRS,['Detroit Tigers'],561,0.8416934046345812,472.19000000000005,8.588235294117647,2.270944741532977,4.03030303030303
ASTROS,['Houston Astros'],412,-2.159441747572816,-889.69,7.662621359223301,2.2135922330097086,3.8058252427184467
ROYALS,['Kansas City Royals'],315,0.8803174603174602,277.29999999999995,4.692063492063492,1.542857142857143,3.1015873015873017
TWINS,"['Washington Senators', 'Minnesota Twins']",522,0.13942528735632195,72.78000000000006,7.477011494252873,2.2413793103448274,4.021072796934866
YANKS,"['Baltimore Orioles', 'New York Yankees']",814,-0.3334766584766585,-271.45000000000005,11.995085995085995,3.1154791154791153,5.519656019656019
ATLTCS,"['Philadelphia Athletics', 'Philadelphia Athletics', 'Kansas City Athletics', 'Oakland Athletics']",728,-5.252774725274724,-3824.0199999999995,20.281593406593405,5.193681318681318,5.001373626373627
MARNRS,['Seattle Mariners'],365,-1.4807123287671233,-540.46,7.057534246575343,2.106849315068493,2.5424657534246577
RAYS,['Tampa Bay Devil Rays'],186,1.2241935483870967,227.7,6.672043010752688,1.935483870967742,2.725806451612903
RNGRS,"['Washington Senators', 'Texas Rangers']",512,-2.5486132812499998,-1304.8899999999999,10.466796875,2.865234375,4.314453125
BJAYS,['Toronto Blue Jays'],310,0.49093548387096775,152.19,6.567741935483871,1.7870967741935484,3.2225806451612904
DBACKS,['Arizona Diamondbacks'],223,-3.1865919282511213,-710.61,8.448430493273543,2.1838565022421523,3.4260089686098656
BRAVES,"['Boston Braves', 'Milwaukee Braves', 'Atlanta Braves']",710,0.12073239436619704,85.7199999999999,8.709859154929578,2.423943661971831,4.501408450704226
CUBS,['Chicago Cubs'],802,1.1841147132169576,949.6600000000001,7.605985037406484,2.180798004987531,3.766832917705736
REDS,"['Cincinnati Reds', 'Cincinnati Reds']",707,-0.8663366336633663,-612.5,6.7864214992927865,2.050919377652051,3.9207920792079207
ROCKS,['Colorado Rockies'],179,-1.2285474860335197,-219.91000000000003,6.4692737430167595,2.022346368715084,1.9497206703910615
DOGRS,"['Brooklyn Dodgers', 'Brooklyn Dodgers', 'Los Angeles Dodgers']",699,1.0950071530758225,765.41,6.577968526466381,1.7553648068669527,3.4821173104434906
PADRS,['San Diego Padres'],518,-1.5734169884169884,-815.03,10.642857142857142,2.9150579150579152,3.965250965250965
MARLNS,"['Florida Marlins', 'Miami Marlins']",233,-6.115665236051502,-1424.9499999999998,14.081545064377682,3.407725321888412,4.819742489270387
METS,['New York Mets'],548,0.41722627737226287,228.64000000000004,9.14963503649635,2.591240875912409,4.273722627737226
PHILS,"['Philadelphia Quakers', 'Philadelphia Phillies']",685,-1.1346131386861313,-777.21,7.835036496350365,2.2145985401459853,4.446715328467153
PIRATS,"['Pittsburgh Pirates', 'Pittsburgh Pirates']",649,-0.3550077041602465,-230.39999999999998,7.302003081664099,2.1047765793528503,4.0785824345146375
GIANTS,"['New York Giants', 'San Francisco Giants']",618,0.7663106796116506,473.58000000000004,8.250809061488674,2.292880258899676,5.058252427184466
CARDS,"['St.Louis Cardinals', 'St. Louis Cardinals']",809,0.7651915945611869,619.0400000000002,11.524103831891225,3.2521631644004945,4.128553770086526
NATEX,"['Montreal Expos', 'Washington Nationals']",407,-1.1455528255528256,-466.24,6.329238329238329,1.99017199017199,3.8304668304668303
