ID,Name,play_debut
aardd001,David Aardsma,04/06/2004
aaroh101,Hank Aaron,04/13/1954
aarot101,Tommie Aaron,04/10/1962
aased001,Don Aase,07/26/1977
abada001,Andy Abad,09/10/2001
abadf001,Fernando Abad,07/28/2010
abadj101,John Abadie,04/26/1875
abbae101,Ed Abbaticchio,09/04/1897
abbeb101,Bert Abbey,06/14/1892
abbec101,Charlie Abbey,08/16/1893
abbod101,Dan Abbott,04/19/1890
abbof101,Fred Abbott,04/25/1903
abbog001,Glenn Abbott,07/29/1973
abboj001,Jim Abbott,04/08/1989
abboj002,Jeff Abbott,06/10/1997
abbok001,Kyle Abbott,09/10/1991
abbok002,Kurt Abbott,09/07/1993
abboo101,Ody Abbott,09/10/1910
abbop001,Paul Abbott,08/21/1990
abera101,Al Aber,09/15/1950
aberb001,Brent Abernathy,06/25/2001
aberb101,Bill Abernathie,09/27/1952
aberc101,Cliff Aberson,07/18/1947
aberd101,Frank Abercrombie,10/21/1871
aberr001,Reggie Abercrombie,04/04/2006
abert101,Ted Abernathy,04/13/1955
abert102,Ted Abernathy,09/19/1942
aberw101,Woody Abernathy,07/28/1946
ableh101,Harry Ables,09/02/1905
abnes001,Shawn Abner,09/08/1987
abrac101,Cal Abrams,04/19/1949
abrag101,George Abrams,04/19/1923
abrea001,Albert Abreu,08/08/2020
abreb001,Bobby Abreu,09/01/1996
abreb002,Bryan Abreu,07/31/2019
abrej001,Johnny Abrego,09/04/1985
abrej002,Juan Abreu,08/29/2011
abrej003,Jose Abreu,03/31/2014
abrej101,Joe Abreu,04/23/1942
abret001,Tony Abreu,05/22/2007
abrew001,Winston Abreu,08/06/2006
abstb101,Bill Abstein,09/25/1906
accaj001,Jeremy Accardo,05/04/2005
aceva001,Alfredo Aceves,08/31/2008
acevj001,Juan Acevedo,04/30/1995
acevj002,Jose Acevedo,06/19/2001
achta001,A.J. Achter,09/03/2014
ackej001,Jim Acker,04/07/1983
acket101,Tom Acker,04/20/1956
ackld001,Dustin Ackley,06/17/2011
acklf101,Fritz Ackley,09/21/1963
acosc101,Cy Acosta,06/04/1972
acose101,Ed Acosta,09/07/1970
acosj101,Jose Acosta,07/28/1920
acosm001,Manny Acosta,08/12/2007
acosm101,Merito Acosta,06/05/1913
acrem001,Mark Acre,05/13/1994
acunr001,Ronald Acuna,04/25/2018
adaij101,Jerry Adair,09/02/1958
adaij102,Jimmy Adair,08/24/1931
adama001,Austin Adams,07/12/2014
adama002,Austin Adams,07/15/2017
adama101,Ace Adams,04/15/1941
adamb101,Buster Adams,04/27/1939
adamb102,Bob Adams,09/27/1931
adamb103,Bobby Adams,04/16/1946
adamb104,Babe Adams,04/18/1906
adamb105,Bob Adams,07/10/1977
adamb106,Jack Adams,08/30/1910
adamb107,Bob Adams,09/22/1925
adamc001,Cristhian Adames,07/29/2014
adamc002,Chance Adams,08/04/2018
adamd001,David Adams,05/15/2013
adamd101,Doug Adams,09/08/1969
adamd102,Dick Adams,05/20/1947
adamd103,Dan Adams,05/22/1914
adamg101,Glenn Adams,05/04/1975
adamg102,George Adams,06/14/1879
adamh101,Herb Adams,09/17/1948
adamj001,Joel Adamson,04/10/1996
adamj002,Jason Adam,05/05/2018
adamj101,Jim Adams,04/21/1890
adamj102,Joe Adams,04/26/1902
adamk101,Karl Adams,04/19/1914
adaml001,Lane Adams,09/01/2014
adamm001,Mike Adams,05/18/2004
adamm002,Matt Adams,05/20/2012
adamm101,Mike Adamson,07/01/1967
adamm102,Mike Adams,09/10/1972
adamr001,Ricky Adams,09/15/1982
adamr002,Russ Adams,09/03/2004
adamr003,Ryan Adams,05/20/2011
adamr101,Red Adams,05/05/1946
adamr102,Rick Adams,07/13/1905
adams101,Sparky Adams,09/18/1922
adams102,Spencer Adams,04/22/1923
adamt001,Terry Adams,08/10/1995
adamw001,Willie Adams,06/11/1996
adamw002,Willy Adames,05/22/2018
adamw101,Willie Adams,06/30/1912
adcoj101,Joe Adcock,04/23/1950
adcon001,Nathan Adcock,03/31/2011
addib101,Bob Addis,09/01/1950
adduj001,Jim Adduci,09/12/1983
adduj002,Jim Adduci,09/01/2013
addyb101,Bob Addy,05/06/1871
adelj001,Jo Adell,08/04/2020
adenn001,Nick Adenhart,05/01/2008
aderm101,Morrie Aderholt,09/13/1939
adkid101,Dick Adkins,09/19/1942
adkid102,Doc Adkins,06/24/1902
adkid103,Dewey Adkins,09/19/1942
adkig101,Grady Adkins,04/13/1928
adkih101,Harry Atkinson,09/25/1895
adkij001,Jon Adkins,08/14/2003
adkis001,Steve Adkins,09/12/1990
adled101,Dave Adlesh,05/12/1963
adlet001,Tim Adleman,05/01/2016
adrie001,Ehire Adrianza,09/08/2013
afent001,Troy Afenir,09/14/1987
affej001,Jeremy Affeldt,04/06/2002
agbab001,Benny Agbayani,06/17/1998
ageet101,Tommie Agee,09/14/1962
aggah101,Harry Agganis,04/13/1954
aglej101,Joe Agler,10/01/1912
agnes101,Sam Agnew,04/10/1913
agosj001,Juan Agosto,09/07/1981
agrad001,Dario Agrazal,06/15/2019
